Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,996.0,1.0,996.0,996.0,0.0,1006.4389215601432,1006.4389215601432,0.0,0.0,,,,,,,,,,,,,,,,393.0160898027075,159.58530893902224,615.6105066232701,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,1986.0,2.0,990.0,1986.0,0.0,1205.1672879753467,1205.1672879753467,0.0,66.76637268066406,,,,,,,,,,,,,,,,474.1321088574479,216.2071600128066,736.5130132196912,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,3124.0,3.0,1138.0,3124.0,0.0,1365.4456305844358,1365.4456305844358,0.0,143.5878918170929,,,,,,,,,,,,,,,,524.1626982141139,214.28825094182287,769.7181982149914,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,4118.0,4.0,994.0,4118.0,0.0,1185.536213434752,1185.536213434752,0.0,210.69834923744202,,,,,,,,,,,,,,,,464.379535881213,209.143845025218,724.6676223912177,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,4182.0,5.0,64.0,4182.0,0.0,22.99273897491554,22.99273897491554,0.0,215.14618253707886,,,,,,,,,,,,,,,,5.318027974000897,6.988544965953926,22.67506024482431,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,5197.0,6.0,1015.0,5197.0,0.0,1212.6413412072775,1212.6413412072775,0.0,284.0497496128082,,,,,,,,,,,,,,,,485.1546495557361,197.44827171799943,720.930302210416,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,6212.0,7.0,1015.0,6212.0,0.0,1039.6032442524497,1039.6032442524497,0.0,352.37002182006836,,,,,,,,,,,,,,,,437.05117187199295,161.81826872376473,596.592897700076,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,7155.0,8.0,943.0,7155.0,0.0,985.8184557394636,985.8184557394636,0.0,416.0551130771637,,,,,,,,,,,,,,,,378.78216167293493,191.34992893339327,629.2561334153025,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,8242.0,9.0,1087.0,8242.0,0.0,1112.5750407879764,1112.5750407879764,0.0,489.6254367828369,,,,,,,,,,,,,,,,422.27263679039754,190.46582377876436,654.218903500317,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,9268.0,10.0,1026.0,9268.0,0.0,1209.276067871781,1209.276067871781,0.0,558.8675260543823,,,,,,,,,,,,,,,,469.8102459883925,215.80547787407488,727.9787342219114,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
